Auteur;P1;Ecole_pays_1;P_Dates;Id
BLANC DE LABARTHE ANDRE FRANÇOIS;numa blanc fils, ?, 1849, paris, 1922;;1849-1922;8699
BLANC DE LABARTHE NUMA PROSPER;;;;8932
BLANC JEAN CHARLES;Royat, 1942;FRANCE;1942;1389
BLANC NUMA FILS;Paris, 1849, ?, 1922, actif de 1854 à 1875, peintre-photographe à paris, actif à cannes, nice, aix-les-bains, menton, pau, luchon et monaco, membre de la société française de photographie à partir de 1869;FRANCE;1849-1922-1854-1875-1869;26276
BLANCARDI A;;;;18372
BLANCHARD;;;;16968
BLANCHART;Éditeur à reims;;;28217
BLANCHE;;;;24693
BLANCHIN;;;;17952
BLANCKART OLIVIER;Bruxelles, 1959;FRANCE;1959;3880
BLANDINO THIERRY;Montauban (tarn-et-garonne), 1963;;1963;11142
BLANFORD & CIE;;;;23993
BLANQUART EVRARD;;;;23443
BLANQUI;;;;16336
BLAZER EMILE;;;;20978
BLEES LUXEMBURG RUT;?, 1967, ?, ?, femme, nationalité : allemande;ALLEMAGNE;1967;11491
BLESCHET;Éditeur à soissons;;;28005
BLOC FRERES;;;;15715
BLOCH C;;;;14513
BLOCK FRITZ;;;;13215
BLOK DIANA;;;;11081
BLONDEL LA ROUGERY;Éditeur à paris;;;27488
BLOT;;;;14479
BLUME ANNA;?, 1937, ?, ?, femme, nationalité : allemande#blume : ?, 1937, ?, ?, nationalité : allemande;;1937-1937;11968
BLUME BERNHARD;;;;11968
BOBB;;;;26956
BODIER CLAUDE LOUISE;;;;1383
BODMER C;villeneuve-sur-yonne, 1850, paris, 1932, prix de rome de sculpture en 1880;FRANCE;1850-1932-1880;9035
BODMER CHARLES;;;;23713
BODMER KARL;riesbach, 1809, barbizon, 1893;FRANCE,SUISSE;1809-1893;23699
BOGAT;Photographe à divonne-les-bains;;;14224
BOGNARD;;;;25001
BOGUREAU;;;;20220
BOGUREAU H;;;;20113
BOISSONNAS;;;;3931
BOISSONNAS & DETAILLE;;;;18812
BOIVIN RAYMOND;?, ?, vernon, ?, nationalité : française;;;11562
BOLO LOUIS;;;;17181
BOLOGNA EMILIA;Femme;ITALIE;;1617
BOLTANSKI CHRISTIAN;Paris, 1944;FRANCE;1944;1362
BOLTON GAMBIER;;;;23626
BOMMER ALICE;Cologne, 1923, rosenwiller, 2004, femme;ALLEMAGNE;1923-2004;2655
BON H MLLE;;;;18310
BONAME ALFRED;Photographe de la 2e moitié du 19e siècle;FRANCE;2-19;26053
BONAMY;;;;19394
BONASONE GIULIO;;;;1241
BONDEL CLAUDE;;;;8483
BONDONNEAU EMILE;?, 1839, ?, ?;FRANCE;1839;33691
BONDRIE L;;;;25215
BONFERT GERD;Blaj (roumanie), 1953;ROUMANIE,ALLEMAGNE;1953;11526
BONHOTAL P;;;;20868
BONIFAY L;;;;17964
BONNA BAZUYAUX;;;;14263
BONNAIN G;;;;11659
BONNARD;Bligny-sur-ouche (côte-d'or - 21);;21;24924
BONNARD F;;;;24923
BONNARD PH;;;;16961
BONNAT LEON;;;;8473
BONNAT LEON JOSEPH FLORENTIN;Né en 1833, mort en 1922;FRANCAISE;1833-1922;23556
BONNAUD A;;;;19510
BONNEFOIX COLLOT;;;;14469
BONNEFON GAEL;Foix (ariège), 1982;;1982;11428
BONNEFOY;;;;20204
BONNET;;;;15319
BONNET G;;;;14914
